marca;preço
Usado: Notebook HP Probook, Intel Core I5-6300u, 8GB, SSD 256GB, Windows 10 Pro, Bronze - L8u43av8GB - Recertificado;R$ 1.909,00
Notebook Asus Intel Core i5 8GB 512GB SSD 15,6”;R$ 2.965,77
Notebook Gamer Lenovo Gaming 3i Intel Core i5 8GB;R$ 4.049,10
Notebook Lenovo Ideapad 3i Core I3 10110u 4gb Ddr4 Ssd 256gb Win 11 Home Tela 15.6'' - 82bs000jbr;R$ 2.989,00
Fonte Notebook Dell La65ns2-01 65w Pa-1650-02pb W8nw3 4.5 Mm X 3.0 Mm;R$ 69,90
"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 1tb Hdd 256gb Ssd, 17.3"" Windows 11 Home - An517-54-72a6";R$ 6.459,05
"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 512gb Ssd 17.3"" Windows 11 Home - An517-54-76eg";R$ 5.699,05
Notebook Acer Aspire 5 A515-56-55ld, Intel Core I5, 11ª Gen, 8GB, 256GB SSD, Windows 11 Home 15.6 Polegadas, Fhd;R$ 3.114,57
Carregador Fonte Notebook Universal 12v A 24v Bivolt Flex 505a;R$ 456,01
Fonte Elgin 46RFTE90W000, 90W, Bivolt, com Cabo, Preta - 46rfte90w000;R$ 79,99
Notebook Ultra, Com Windows 11 Home, Processador Intel Core I3, 8GB 240GB SSD, Tela 14,1 Pol. HD + Tecla Netflix Prata - Ub445;R$ 2.203,36
Notebook Acer Aspire 3 A315-58-31uy, Intel Core I3, 8GB, 256GB SSD, Tela 15.6, Windows 11 Home, Prata;R$ 2.975,07
Notebook Gamer Acer Nitro 5 An517-54-70y7 Intel Core I7 Linux Gutta 8GB 512GB SSD Rtx 3050 17.3 Polegadas FHD;R$ 6.599,00
Notebook Lenovo Gamer, Intel I5 9300h, 8gb, Ssd 256gb, Geforce Gtx 1050, Win 10, 81tr0006br - L340;R$ 3.812,07
Fonte De Alimentação Universal 9 + 1 Plugues 120w;R$ 52,80
Fonte Carregador Para HP Pavilion HP 240 G7 19.5v 3.33a 761, Voltagem De Entrada;R$ 102,00
Notebook Asus, Intel Core I5 1035g1 8GB, 512GB SSD, Tela De 15.6'',Cinza - X515JA-EJ1791W;R$ 3.192,61
Notebook Dell 15 Vostro 3510, Intel Core I5-1135G7, 8GB RAM, SSD 256GB, Windows 10 Pro, Cinza - 210-Bcdk-Nbv34;R$ 4.769,48
Notebook Gamer Asus Strix Scar 18, Intel Core 13ª Geração I9-13980HX, 32GB RAM, RTX 4090, SSD 2TB NVMe, Tela 18 Polegadas Wqxga;R$ 57.157,89
Notebook LG Gram Intel Core i5-1035G7, 8GB, 256GB SSD, 17 IPS Full HD, Windows 10 Home, Titanio - 17Z90N-VBJ51P2;R$ 4.999,99
Notebook Gamer Predator Helios 300 Intel Core i7-11800H, GeForce RTX 3070, 16GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Win11 - PH315-54-70LH;R$ 11.499,99
Notebook Gamer Lenovo Gaming 3 AMD Ryzen 7-5800H, GeForce GTX1650, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Preto  - 82MJ0001BR;R$ 4.899,99
